URL,Title,Category,Date,Story
https://www.astroawani.com/berita-malaysia/perunding-dagangan-emas-didakwa-terima-deposit-lebih-rm1-juta-tanpa-lesen-sah-521578,Perunding dagangan emas didakwa terima deposit lebih RM1 juta tanpa lesen sah,Berita Malaysia,20/05/2025 21:30 MYT,"KUALA LUMPUR: Seorang perunding perdagangan emas dan pertukaran wang asing mengaku tidak bersalah di Mahkamah Sesyen di sini hari ini atas pertuduhan menerima deposit berjumlah RM1.18 juta tanpa lesen sah bagi tujuan pelaburan, tiga tahun lepas."
https://www.astroawani.com/berita-malaysia/dun-sarawak-lulus-ruu-kanun-tanah-pindaan-2025-521612,DUN Sarawak lulus RUU Kanun Tanah (Pindaan) 2025,Berita Malaysia,20/05/2025 21:01 MYT,KUCHING: Rang Undang-Undang (RUU) Kanun Tanah (Pindaan) 2025 yang dibentangkan pada Persidangan Dewan Undangan Negeri (DUN) Sarawak hari ini antara lain bertujuan menyediakan mekanisme rasmi bagi pendaftaran tanah wakaf dalam rekod daftar tanah.
https://www.astroawani.com/berita-malaysia/warga-emas-disaran-dapatkan-vaksin-influenza-secara-percuma-di-fasiliti-kesihatan-terpilih-521598,Warga emas disaran dapatkan vaksin influenza secara percuma di fasiliti kesihatan terpilih,Berita Malaysia,20/05/2025 21:00 MYT,PUTRAJAYA: Warga emas yang mempunyai sekurang-kurangnya satu penyakit komorbid atau kronik disaran mendapatkan vaksin influenza secara percuma menerusi program Imunisasi Influenza Warga Emas di fasiliti kesihatan Kementerian Kesihatan (KKM) terpilih.
https://www.astroawani.com/berita-malaysia/imam-jatuh-bot-ketika-memancing-ditemukan-lemas-521617,Imam jatuh bot ketika memancing ditemukan lemas,Berita Malaysia,20/05/2025 20:41 MYT,"MERSING: Seorang imam ditemukan lemas selepas terjatuh dari bot ketika memancing di sungai berhampiran Jeti Kampung Semaloi, Endau di sini awal pagi tadi."
https://www.astroawani.com/berita-malaysia/pga-gagalkan-cubaan-seludup-tanaman-hiasan-di-pasir-mas-dan-tumpat-521595,PGA gagalkan cubaan seludup tanaman hiasan di Pasir Mas dan Tumpat,Berita Malaysia,20/05/2025 20:15 MYT,"KOTA BHARU: Pasukan Gerakan Am (PGA) menggagalkan cubaan menyeludup masuk tanaman hiasan dari negara jiran selepas menahan dua lori berasingan menerusi Op Taring Wawasan Kelantan di Pasir Mas dan Tumpat, Ahad lepas."
https://www.astroawani.com/berita-malaysia/polis-buru-tiga-suspek-serangan-simbah-asid-terhadap-pemilik-spa-di-kelantan-521586,Polis buru tiga suspek serangan simbah asid terhadap pemilik spa di Kelantan,Berita Malaysia,20/05/2025 19:45 MYT,"KOTA BHARU: Polis sedang giat mengesan tiga individu yang disyaki terlibat dalam serangan kejam menggunakan bahan dipercayai asid terhadap seorang pemilik spa wanita, di premisnya di Beris Kubu Besar, Bachok, pada Sabtu lepas."
https://www.astroawani.com/berita-malaysia/mara-sasar-tubuh-hospital-kukuh-ekosistem-bumiputera-dalam-sektor-perubatan-521585,"Mara sasar tubuh hospital, kukuh ekosistem bumiputera dalam sektor perubatan",Berita Malaysia,20/05/2025 19:30 MYT,KUCHING: Majlis Amanah Rakyat (Mara) menyasarkan untuk memperluas perkhidmatan kesihatan kendaliannya menerusi cadangan penubuhan Hospital Mara dalam usaha memperkasakan penglibatan bumiputera dalam sektor perubatan dan keusahawanan profesional.
https://www.astroawani.com/berita-malaysia/ugut-sebar-video-bogel-rakan-dua-remaja-ditahan-polis-521592,,Berita Malaysia,20/05/2025 18:40 MYT,AMPANG JAYA: Tindakan dua remaja lelaki memeras ugut seorang kenalan mereka dengan menggunakan video bogel mangsa akhirnya memakan diri apabila mereka diberkas polis di sebuah pusat beli-belah di Ampang baru-baru ini.
https://www.astroawani.com/berita-malaysia/tiru-langgar-reka-bentuk-telekung-airaz-diperintah-bayar-rm17-juta-kepada-siti-khadijah-521589,"Tiru, langgar reka bentuk telekung: Airaz diperintah bayar RM1.7 juta kepada Siti Khadijah",Berita Malaysia,20/05/2025 18:35 MYT,"KUALA LUMPUR: Mahkamah Tinggi di sini memerintahkan Syarikat Airaz Technologies Sdn Bhd (Airaz) membayar ganti rugi RM1.7 juta kepada Siti Khadijah Apparel Sdn Bhd, selepas didapati meniru dan melanggar reka bentuk berdaftar Telekung Harmoni milik syarikat berkenaan."
https://www.astroawani.com/berita-malaysia/modul-aulad-sejahtera-prasekolah-di-negeri-sembilan-perlu-diperluas-tuanku-muhriz-521559,Modul Aulad Sejahtera prasekolah di Negeri Sembilan perlu diperluas - Tuanku Muhriz,Berita Malaysia,20/05/2025 18:15 MYT,"PORT DICKSON: Pelaksanaan modul Aulad Sejahtera di 25 tadika Islam terpilih melibatkan 5,000 murid di Negeri Sembilan bermula tahun ini perlu diperluas kepada semua kategori pada fasa seterusnya."
https://www.astroawani.com/berita-malaysia/gangguan-seksual-meningkat-takutkan-polis-antara-punca-mangsa-tak-lapor-shuhaily-521591,"Gangguan seksual meningkat, takutkan polis antara punca mangsa tak lapor - Shuhaily",Berita Malaysia,20/05/2025 18:04 MYT,KUALA LUMPUR: Ketakutan terhadap pihak polis adalah antara faktor utama yang menghalang mangsa gangguan seksual daripada tampil membuat laporan.
https://www.astroawani.com/berita-malaysia/dua-daripada-tiga-lelaki-malaysia-terdedah-masalah-disfungsi-erektil-521562,Dua daripada tiga lelaki Malaysia terdedah masalah disfungsi erektil,Berita Malaysia,20/05/2025 18:00 MYT,"PUTRAJAYA: Dua daripada tiga lelaki di Malaysia terdedah kepada masalah disfungsi erektil (ED), kata Timbalan Menteri Kesihatan Datuk Lukanisman Awang Sauni."
https://www.astroawani.com/berita-malaysia/sapura-velum-labs-pamer-keupayaan-ai-tempatan-di-lima-25-521572,"Sapura, Velum Labs pamer keupayaan AI tempatan di LIMA' 25",Berita Malaysia,20/05/2025 17:50 MYT,"LANGKAWI: Dalam usaha memperkukuh keselamatan negara dengan teknologi tempatan, Sapura Secured Technologies (SST) bersama anak syarikatnya, Velum Labs, mempersembahkan inovasi terkini berasaskan kecerdasan buatan (AI) di Pameran Maritim dan Aeroangkasa Antarabangsa Langkawi (LIMA) 2025."
https://www.astroawani.com/berita-malaysia/maritim-malaysia-gagal-cubaan-seludup-syabu-rm10-juta-521555,Maritim Malaysia gagal cubaan seludup syabu RM10 juta,Berita Malaysia,20/05/2025 17:40 MYT,BATU PAHAT: Agensi Penguatkuasaan Maritim Malaysia (Maritim Malaysia) menggagalkan cubaan menyeludup dadah dipercayai jenis syabu ke negara jiran yang dianggarkan bernilai RM10 juta di perairan Sungai Ayam di sini pada 16 Mei lepas.
https://www.astroawani.com/berita-malaysia/agong-kurnia-100-ekor-lembu-untuk-ibadah-korban-521558,Agong kurnia 100 ekor lembu untuk ibadah korban,Berita Malaysia,20/05/2025 17:21 MYT,KUALA LUMPUR: Yang di-Pertuan Agong Sultan Ibrahim berkenan mengurniakan 100 ekor lembu untuk dikorbankan bersempena dengan sambutan Aidiladha.
https://www.astroawani.com/berita-malaysia/66825-aduan-konflik-manusiahidupan-liar-direkodkan-sejak-2020-521567,"66,825 aduan konflik manusia-hidupan liar direkodkan sejak 2020",Berita Malaysia,20/05/2025 17:04 MYT,"ISKANDAR PUTERI: Sebanyak 66,825 aduan konflik manusia dengan hidupan liar direkodkan sejak 2020 hingga tahun lepas membabitkan kerugian RM46.5 juta."
